head_sync,Time
0.112157874,466.4
0.112933529,466.8
0.113038025,467.2
0.115964938,467.6
0.124023596,468
0.129470334,468.4
0.107313584,468.8
0.098579307,469.2
0.098957797,469.6
0.092914612,470
0.116004034,470.4
0.121113361,470.8
0.127222484,471.2
0.125152948,471.6
0.119548744,472
0.109942969,472.4
0.103943347,472.8
0.114552291,473.2
0.112179825,473.6
0.112673672,474
0.101442533,474.4
0.107344019,474.8
0.103882795,475.2
0.129570476,475.6
0.160931423,476
0.165840514,476.4
0.169724488,476.8
0.154897367,477.2
0.140433683,477.6
0.136222038,478
0.126958232,478.4
0.134896595,478.8
0.126116025,479.2
0.133062295,479.6
0.123391998,480
0.116804865,480.4
0.118957361,480.8
0.104426541,481.2
0.111424654,481.6
0.111095365,482
0.131079832,482.4
0.136299899,482.8
0.123646159,483.2
0.119448127,483.6
0.118118613,484
0.130691937,484.4
0.117417719,484.8
0.130124033,485.2
0.108646087,485.6
0.088402924,486
0.091777152,486.4
0.103018574,486.8
0.180442739,487.2
0.163253653,487.6
0.147012698,488
0.146645778,488.4
0.161267941,488.8
0.192179666,489.2
0.148288733,489.6
0.131306647,490
0.099417148,490.4
0.080884597,490.8
0.108595282,491.2
0.1320328,491.6
0.126786698,492
0.123978195,492.4
0.11330182,492.8
0.123388396,493.2
0.128561832,493.6
0.148140545,494
0.167555697,494.4
0.139068418,494.8
0.114695819,495.2
0.144840911,495.6
0.118210142,496
0.11883698,496.4
0.099527288,496.8
0.100137943,497.2
0.110129715,497.6
0.100344809,498
0.110665228,498.4
0.140369329,498.8
0.137237639,499.2
0.133593543,499.6
0.145396558,500
0.137728681,500.4
0.128737555,500.8
0.110842307,501.2
0.109041372,501.6
0.144774038,502
0.20229713,502.4
0.219532097,502.8
0.194647656,503.2
0.160294462,503.6
0.139260108,504
0.14218114,504.4
0.160118874,504.8
0.18358185,505.2
0.179298605,505.6
0.17871508,506
0.130127643,506.4
0.135040023,506.8
0.116778958,507.2
0.113229675,507.6
0.118061945,508
0.115329542,508.4
0.119998957,508.8
0.117414292,509.2
0.126140204,509.6
0.108785649,510
0.127750792,510.4
0.133825219,510.8
0.152053616,511.2
0.158893423,511.6
0.148474133,512
0.138000043,512.4
0.134897111,512.8
0.127570499,513.2
0.112505408,513.6
0.133200687,514
0.087935227,514.4
0.06924567,514.8
0.13431414,515.2
0.163101655,515.6
0.176019225,516
0.172161679,516.4
0.14663965,516.8
0.139603559,517.2
0.124645969,517.6
0.113166234,518
0.0996828,518.4
0.102696507,518.8
0.098154485,519.2
0.097598489,519.6
0.09632194,520
0.094150671,520.4
0.101448852,520.8
0.116177699,521.2
0.126913769,521.6
0.146934514,522
0.222676012,522.4
0.244471297,522.8
0.225673761,523.2
0.272494413,523.6
0.25064235,524
0.196845854,524.4
0.199688507,524.8
0.227481771,525.2
0.203209958,525.6
0.217500959,526
0.225006878,526.4
0.206088383,526.8
0.189307263,527.2
0.167329466,527.6
0.173959249,528
0.170440786,528.4
0.155100081,528.8
0.151354235,529.2
0.138656106,529.6
0.145722329,530
0.130163345,530.4
0.132377792,530.8
0.13721393,531.2
0.134323271,531.6
0.14533991,532
0.149073336,532.4
0.149711844,532.8
0.159168542,533.2
0.130216952,533.6
0.106411792,534
0.12001035,534.4
0.1321481,534.8
0.145845544,535.2
0.13570166,535.6
0.13642152,536
0.126979892,536.4
0.117176767,536.8
0.107857314,537.2
0.110147036,537.6
0.103835252,538
0.098472692,538.4
0.10617936,538.8
0.110002007,539.2
0.120041357,539.6
0.127999701,540
0.127128542,540.4
0.122539461,540.8
0.118403043,541.2
0.169336586,541.6
0.206170266,542
0.227012653,542.4
0.249608642,542.8
0.245049214,543.2
0.224607243,543.6
0.217655468,544
0.168706677,544.4
0.131082401,544.8
0.093147574,545.2
0.074321601,545.6
0.088544284,546
0.073316791,546.4
0.097254485,546.8
0.100550929,547.2
0.08947416,547.6
0.083013367,548
0.087896757,548.4
0.100062329,548.8
0.090397293,549.2
0.091519693,549.6
0.096658388,550
0.123438254,550.4
0.12549962,550.8
0.126081466,551.2
0.115590868,551.6
0.135260503,552
0.124153069,552.4
0.149109422,552.8
0.175389812,553.2
0.155671327,553.6
0.142553603,554
0.141331488,554.4
0.189329857,554.8
0.227053588,555.2
0.235599404,555.6
0.231802531,556
0.239980238,556.4
0.211445831,556.8
0.178986699,557.2
0.167072901,557.6
0.142622636,558
0.140117277,558.4
0.145087679,558.8
0.134929755,559.2
0.152055043,559.6
0.155532683,560
0.149277259,560.4
0.136359259,560.8
0.13064492,561.2
0.157936105,561.6
0.14253057,562
0.153108837,562.4
0.172564716,562.8
0.181430175,563.2
0.16836675,563.6
0.144946923,564
0.147885557,564.4
0.188315425,564.8
0.296216382,565.2
0.234895872,565.6
0.171281436,566
0.14927832,566.4
0.146417931,566.8
0.170128609,567.2
0.172208755,567.6
0.153784578,568
0.167294927,568.4
0.162403891,568.8
0.138989833,569.2
0.139582,569.6
0.133661454,570
0.137967396,570.4
0.137759901,570.8
0.185707779,571.2
0.228562871,571.6
0.09499444,572
0.121557616,572.4
0.156705659,572.8
0.179225779,573.2
0.162854752,573.6
0.155756383,574
0.140876139,574.4
0.121024336,574.8
0.118534675,575.2
0.112172015,575.6
0.137194227,576
0.186374383,576.4
0.194287004,576.8
0.158389065,577.2
0.140928397,577.6
0.15463069,578
0.17666243,578.4
0.169199919,578.8
0.168823116,579.2
0.174901183,579.6
0.152331096,580
0.142182316,580.4
0.165129895,580.8
0.14434677,581.2
0.140647451,581.6
0.126088448,582
0.122540227,582.4
0.129877542,582.8
0.128078496,583.2
0.110074632,583.6
0.098710747,584
0.100891734,584.4
0.113514228,584.8
0.120295203,585.2
0.129295345,585.6
0.128816235,586
0.135069082,586.4
0.135879205,586.8
0.121807828,587.2
0.120070936,587.6
0.103602485,588
0.10577302,588.4
0.099287693,588.8
0.108155578,589.2
0.131883712,589.6
0.140399515,590
0.142857843,590.4
0.138267686,590.8
0.151456388,591.2
0.161598042,591.6
0.158746981,592
0.146071503,592.4
0.144853747,592.8
0.13720338,593.2
0.151315503,593.6
0.11776866,594
0.109189112,594.4
0.126886169,594.8
0.148774011,595.2
0.13997963,595.6
0.120801394,596
0.113035872,596.4
0.1340022,596.8
0.165016948,597.2
0.180083597,597.6
0.1854055,598
0.190786571,598.4
0.1842302,598.8
0.186875652,599.2
0.172913757,599.6
0.183680965,600
0.175397063,600.4
0.170164793,600.8
0.158799515,601.2
0.142951888,601.6
0.123741714,602
0.109402686,602.4
0.10376372,602.8
0.143633888,603.2
0.146778586,603.6
0.128647311,604
0.13008874,604.4
0.101867249,604.8
0.11640909,605.2
0.139859152,605.6
0.123433987,606
0.128338848,606.4
0.139567454,606.8
0.136323345,607.2
0.14011514,607.6
0.135294638,608
0.118075608,608.4
0.138370965,608.8
0.148529249,609.2
0.133983383,609.6
0.14170215,610
0.14265404,610.4
0.137882529,610.8
0.141532658,611.2
0.156238162,611.6
0.132526933,612
0.13658285,612.4
0.162577455,612.8
0.123291648,613.2
0.115349722,613.6
0.143135617,614
0.152400353,614.4
0.160935534,614.8
0.158490801,615.2
0.162474454,615.6
0.164293655,616
0.142471034,616.4
0.116061867,616.8
0.121429384,617.2
0.167981078,617.6
0.174376902,618
0.217247137,618.4
0.22255801,618.8
0.260589676,619.2
0.231749248,619.6
0.225859251,620
0.200966251,620.4
0.194512664,620.8
0.208657482,621.2
0.20511,621.6
0.179322956,622
0.171977111,622.4
0.178198627,622.8
0.152376405,623.2
0.141116795,623.6
0.181176228,624
0.199323578,624.4
0.200335236,624.8
0.180963172,625.2
0.161423495,625.6
0.152105437,626
0.144621366,626.4
0.142656343,626.8
0.121256342,627.2
0.109898318,627.6
0.104011622,628
0.105513926,628.4
0.111241197,628.8
0.115223012,629.2
0.109846366,629.6
0.107903721,630
0.107012008,630.4
0.109331931,630.8
0.128055208,631.2
0.119728071,631.6
0.124136622,632
0.13549663,632.4
0.138967507,632.8
0.160748892,633.2
0.188378285,633.6
0.210088444,634
0.193749251,634.4
0.198519113,634.8
0.139023182,635.2
0.163888328,635.6
0.185088002,636
0.219236339,636.4
0.226079591,636.8
0.230832916,637.2
0.231022964,637.6
0.222092781,638
0.203938566,638.4
0.158588521,638.8
0.148894383,639.2
0.151336709,639.6
0.167787892,640
0.144586611,640.4
0.144945746,640.8
0.147729071,641.2
0.128588439,641.6
0.116543636,642
0.10453144,642.4
0.108278655,642.8
0.101079266,643.2
0.111308654,643.6
0.108869791,644
0.11305373,644.4
0.119757555,644.8
0.132193366,645.2
0.164762304,645.6
0.168523597,646
0.178690585,646.4
0.157124998,646.8
0.150281009,647.2
0.147735306,647.6
0.123276922,648
0.119340887,648.4
0.12828019,648.8
0.109491684,649.2
0.113525124,649.6
0.100475797,650
0.085194526,650.4
0.08988419,650.8
0.097975344,651.2
0.102798934,651.6
0.099083917,652
0.102510965,652.4
0.10661325,652.8
0.091170386,653.2
0.115541622,653.6
0.130032629,654
0.123278499,654.4
0.117174808,654.8
0.127137628,655.2
0.131439772,655.6
0.131067003,656
0.142100945,656.4
0.142029009,656.8
0.114220211,657.2
0.12176683,657.6
0.142952918,658
0.158913892,658.4
0.160177983,658.8
0.154789682,659.2
0.147211387,659.6
0.115294157,660
0.095561122,660.4
0.091998421,660.8
0.113999194,661.2
0.115111792,661.6
0.129251891,662
0.144474222,662.4
0.149205414,662.8
0.137564598,663.2
0.141625257,663.6
0.144166548,664
0.145209593,664.4
0.151194185,664.8
0.153762896,665.2
0.159645489,665.6
0.170277053,666
0.201542229,666.4
0.232989741,666.8
0.170240374,667.2
0.162363441,667.6
0.170867421,668
0.185889907,668.4
0.167852582,668.8
0.137410861,669.2
0.125770725,669.6
0.105364899,670
0.094232566,670.4
0.094966811,670.8
0.107790777,671.2
0.126138968,671.6
0.122536281,672
0.121164171,672.4
0.12518533,672.8
0.128184641,673.2
0.126262623,673.6
0.092767944,674
0.110732204,674.4
0.12219981,674.8
0.163914269,675.2
0.162387266,675.6
0.168979448,676
0.174552715,676.4
0.172958922,676.8
0.190631861,677.2
0.188641011,677.6
0.161073503,678
0.194135133,678.4
0.206479233,678.8
0.154975406,679.2
0.144273112,679.6
0.157135044,680
0.157028959,680.4
0.155721658,680.8
0.183130535,681.2
0.177105122,681.6
0.102521895,682
0.12609073,682.4
0.167457366,682.8
0.174631267,683.2
0.149568825,683.6
0.150016505,684
0.150527118,684.4
0.173319842,684.8
0.18349729,685.2
0.168991153,685.6
0.131232554,686
0.147666271,686.4
0.148680656,686.8
0.172895826,687.2
0.175719758,687.6
0.158019992,688
0.14331636,688.4
0.144555136,688.8
0.140043761,689.2
0.153434514,689.6
0.122812821,690
0.115906247,690.4
0.104598497,690.8
0.130719435,691.2
0.158776255,691.6
0.151286353,692
0.146297725,692.4
0.140720124,692.8
0.158413855,693.2
0.151238655,693.6
0.152853124,694
0.154916616,694.4
0.121935572,694.8
0.116916761,695.2
0.113163408,695.6
0.118079399,696
0.133651557,696.4
0.13232389,696.8
0.163251776,697.2
0.153284675,697.6
0.162745075,698
0.176438508,698.4
0.160226765,698.8
0.16283254,699.2
0.160037485,699.6
0.170583018,700
0.134914323,700.4
0.093958754,700.8
0.098421315,701.2
0.094384553,701.6
0.108062217,702
0.10599401,702.4
0.12496847,702.8
0.126287483,703.2
0.111866772,703.6
0.109595204,704
0.107000491,704.4
0.116604293,704.8
0.121713119,705.2
0.081463153,705.6
0.10068709,706
0.103746284,706.4
0.081982915,706.8
0.089376125,707.2
0.105101969,707.6
0.164505958,708
