r_r_VM,Time
-0.832435288,294.2352004
-0.812035002,294.6284136
-0.77053614,295.0216267
-0.703454965,295.4148399
-0.609463846,295.808053
-0.49568517,296.2012661
-0.369804349,296.5944793
-0.233902522,296.9876924
-0.091035276,297.3809056
0.055817513,297.7741187
0.206355529,298.1673319
0.354472227,298.560545
0.474870818,298.9537581
0.54832548,299.3469713
0.575979486,299.7401844
0.581042875,300.1333976
0.584558064,300.5266107
0.589595359,300.9198238
0.586791328,301.313037
0.568341231,301.7062501
0.537577049,302.0994633
0.506744624,302.4926764
0.493971955,302.8858895
0.506506919,303.2791027
0.53018826,303.6723158
0.549218495,304.065529
0.554752804,304.4587421
0.541002584,304.8519553
0.500391593,305.2451684
0.429083075,305.6383815
0.34436413,306.0315947
0.253586596,306.4248078
0.147937339,306.818021
0.037654086,307.2112341
-0.051738112,307.6044472
-0.091987556,307.9976604
-0.078017018,308.3908735
-0.030912664,308.7840867
0.029210396,309.1772998
0.092260945,309.5705129
0.153485058,309.9637261
0.208504609,310.3569392
0.248197826,310.7501524
0.254745471,311.1433655
0.212879795,311.5365787
0.12450081,311.9297918
-0.00476004,312.3230049
-0.169963418,312.7162181
-0.361770004,313.1094312
-0.558675624,313.5026444
-0.72972179,313.8958575
-0.865897683,314.2890706
-0.969878882,314.6822838
-1.041574659,315.0754969
-1.079856447,315.4687101
-1.082993235,315.8619232
-1.049247015,316.2551363
-0.99121264,316.6483495
-0.921387233,317.0415626
-0.850210219,317.4347758
-0.778415628,317.8279889
-0.688778475,318.2212021
-0.57644781,318.6144152
-0.44484222,319.0076283
-0.300825288,319.4008415
-0.1532128,319.7940546
-0.015936834,320.1872678
0.096235402,320.5804809
0.172333849,320.973694
0.206661107,321.3669072
0.197890522,321.7601203
0.147723511,322.1533335
0.060574448,322.5465466
-0.056288007,322.9397597
-0.192013261,323.3329729
-0.332022359,323.726186
-0.464231209,324.1193992
-0.592789898,324.5126123
-0.722066863,324.9058255
-0.846779077,325.2990386
-0.951398269,325.6922517
-1.020168701,326.0854649
-1.055244902,326.478678
-1.060259747,326.8718912
-1.0394856,327.2651043
-0.999860291,327.6583174
-0.949160591,328.0515306
-0.890445875,328.4447437
-0.818821017,328.8379569
-0.72699331,329.23117
-0.611096156,329.6243831
-0.472777195,330.0175963
-0.317636226,330.4108094
-0.151365747,330.8040226
0.020622391,331.1972357
0.193347128,331.5904489
0.362613363,331.983662
0.523665399,332.3768751
0.666057192,332.7700883
0.772018291,333.1633014
0.826521675,333.5565146
0.82628539,333.9497277
0.774366077,334.3429408
